,datetime,predict_TS,predict_residual,predict_value,SITE_ID,value,TS,residual
2781,2012-12-07,1691.966666372625,3.5211386582709734,1695.487805030896,228,1699.9325,1571.4325131039816,128.49998689601838
2782,2012-12-08,948.496798575668,31.83185640035069,980.3286549760187,228,702.5149000000002,792.8872540380492,-90.37235403804891
2783,2012-12-09,894.6436296144402,-75.72847372371929,818.9151558907209,228,615.7268000000012,741.7322537077868,-126.00545370778559
2784,2012-12-10,1700.9728915607334,20.500476485605564,1721.473368046339,228,1666.6714999999983,1602.8997206889173,63.77177931108096
2785,2012-12-11,1792.232630009092,87.80859811828252,1880.0412281273746,228,1790.7604999999983,1707.6862264840647,83.07427351593344
2786,2012-12-12,1754.289168014674,46.87944604536979,1801.1686140600439,228,1635.8344999999983,1672.77764689519,-36.94314689519166
2787,2012-12-13,1759.0008980205462,-8.81027507736428,1750.190622943182,228,1684.9856999999981,1690.3705422248604,-5.384842224862325
2788,2012-12-14,1672.5525959456297,73.41630383463796,1745.9688997802677,228,1716.5630999999976,1598.0759702468388,118.48712975315888
2789,2012-12-15,924.7931051473446,157.45231900879818,1082.2454241561427,228,715.7789000000013,793.8009968951919,-78.02209689519066
2790,2012-12-16,865.2925819999317,-147.52444609057224,717.7681359093594,228,639.2247000000006,724.582482279215,-85.35778227921446
2791,2012-12-17,1664.2898527113268,-30.73533790596607,1633.5545148053607,228,1644.4524999999987,1586.1153349746317,58.33716502536706
2792,2012-12-18,1750.3963069162933,44.73690178938272,1795.133208705676,228,1716.3608999999983,1693.9316264840654,22.429273515932778
2793,2012-12-19,1708.1500792755628,20.16489435687734,1728.3149736324401,228,1547.5657999999992,1656.0028040380473,-108.4370040380482
2794,2012-12-20,1709.0686585068174,-2.2195606829879058,1706.8490978238294,228,1698.9897999999985,1669.1038136534319,29.88598634656654
2795,2012-12-21,1619.7227541680966,73.30361091311102,1693.0263650812076,228,1754.4021999999989,1436.4082988182674,317.99390118173153
2796,2012-12-22,871.3879113976698,114.20378097262561,985.5916923702954,228,707.901199999999,491.61703975233513,216.28416024766386
2797,2012-12-23,810.4333518614625,-110.35577296197498,700.0775788994875,228,631.2793999999992,314.8157822792157,316.46361772078353
2798,2012-12-24,1606.7190379532672,-144.68526671691714,1462.03377123635,228,639.4269,1031.7828921174894,-392.35599211748934
2799,2012-12-25,1692.6571584096293,-275.42380073536407,1417.2333576742653,228,658.3473000000004,988.1658264840662,-329.81852648406584
2800,2012-12-26,1651.385363603327,100.62845623095042,1752.0138198342775,228,706.2179000000011,956.8161040380487,-250.59820403804753
2801,2012-12-27,1653.9993087176258,379.1124924930843,2033.1118012107102,228,701.0337000000003,987.5961565105765,-286.56245651057617
2802,2012-12-28,1567.367454507937,-289.606262623475,1277.761191884462,228,732.2078000000006,908.892598818269,-176.68479881826843
2803,2012-12-29,824.0982334871939,365.11527130271236,1189.2135047899062,228,746.0772000000014,21.504311180907962,724.5728888190935
2804,2012-12-30,767.2623139997007,419.540390378178,1186.8027043778789,228,747.0874000000005,-166.68061516977252,913.768015169773
2805,2012-12-31,1566.241367182534,-133.02598630781233,1433.2153808747216,228,712.345000000001,628.4631808929923,83.88181910700868
2806,2012-11-01,2273.450806514294,36.83470085182132,2310.2855073661153,236,2352.7177999999994,2292.438362886064,60.279437113935046
2807,2012-11-02,2184.4363076072736,98.55899406756393,2282.9953016748377,236,2345.8980000000024,2180.792286787164,165.1057132128385
2808,2012-11-03,1033.2921468320096,-212.15437290865276,821.1377739233569,236,927.8349,828.288366182768,99.54653381723199
2809,2012-11-04,1134.1619298086612,-145.1075405613024,989.0543892473588,236,892.8217999999996,910.7949459219643,-17.973145921964715
2810,2012-11-05,2220.0374700312377,-185.4874878674434,2034.5499821637943,236,2119.1280999999994,1981.5450162434893,137.58308375651023
2811,2012-11-06,2341.877744514236,-91.73853246758581,2250.1392120466503,236,1173.2507,2076.6878008507283,-903.437100850728
2812,2012-11-07,2225.996865945159,-124.0510881828556,2101.9457777623034,236,2117.156900000001,1962.16367827068,154.99322172932068
2813,2012-11-08,2328.6337975821734,26.0531919672391,2354.6869895494124,236,2236.6050000000005,2074.6353914574934,161.9696085425071
2814,2012-11-09,2234.3489154891263,167.9892814401993,2402.3381969293255,236,2179.914400000002,1969.465929644307,210.448470355695
2815,2012-11-10,1077.463481519866,108.88664058319402,1186.3501221030601,236,992.2579999999996,955.5768518970533,36.68114810294628
2816,2012-11-11,1171.1212713517177,21.221913854521414,1192.3431852062392,236,953.001200000001,1064.221017350536,-111.21981735053487
2817,2012-11-12,2248.7513836869894,-9.099725526761876,2239.6516581602273,236,2101.4064999999996,2171.567487672061,-70.16098767206125
2818,2012-11-13,2362.6852217427117,84.64335364858525,2447.328575391297,236,2311.4879999999994,2301.899186565014,9.588813434985468
2819,2012-11-14,2239.1427834055366,-37.75352697129922,2201.3892564342373,236,2228.117600000002,2177.522178270681,50.595421729321174
2820,2012-11-15,2334.4102323795905,45.118820865106066,2379.5290532446966,236,2376.6670000000004,2275.2466628860648,101.4203371139356
2821,2012-11-16,2233.557941372256,64.90401244464138,2298.4619538168977,236,2260.2532000000015,2168.817543930021,91.43565606998027
2822,2012-11-17,1071.640119307386,1.7038089424912437,1073.343928249877,236,987.7108999999998,984.115966182768,3.5949338172317766
2823,2012-11-18,1160.7551475648045,-3.58407628822497,1157.1710712765796,236,909.9499999999997,899.383060207679,10.566939792320682
2824,2012-11-19,2234.6644197629876,-38.67978362120265,2195.984636141785,236,2074.8673000000013,1773.0106591006324,301.85664089936887
2825,2012-11-20,2346.910423945941,-5.5768204775969155,2341.3336034683443,236,2254.037800000001,1695.153815136442,558.8839848635589
2826,2012-11-21,2223.4060732941143,-162.19723917859434,2061.20883411552,236,985.4387999999991,1554.3843925563947,-568.9455925563955
2827,2012-11-22,2320.22636957228,-355.0730059715417,1965.1533636007382,236,880.6969,1652.780420028922,-772.083520028922
2828,2012-11-23,2222.6554983167102,206.89152211235194,2429.5470204290623,236,883.2722000000001,1547.846858215735,-664.5746582157349
2829,2012-11-24,1066.1552990335995,526.9549158719302,1593.1102149055296,236,868.4168999999991,381.40022332562467,487.0166766743745
2830,2012-11-25,1161.433865941629,352.7951792257429,1514.2290451673719,236,871.5996000000002,637.1881173505359,234.41148264946435
2831,2012-11-26,2242.230566465135,146.31176987580085,2388.542336340936,236,2058.7969999999996,1928.0582448149182,130.7387551850814
